k,distance_bin,sa,ts,ga
6,16,-4.276426750104878,-2.6269250680898963,-4.281908367311244
6,17,-2.952711794225914,-2.7183870374888675,-2.7437900601624574
6,18,-1.5402966602778707,-0.6568732779375364,-1.661968115985171
6,19,0.5658972465421757,11.062321511323441,3.3882185576382584
6,20,2.3399124877231348,13.261786441017751,2.744903710207024
6,21,-0.23317517918395564,1.6124727658446236,-0.2514245008120247
6,22,-0.36000000000000004,13.59093274189614,-0.36000000000000004
6,23,0.0,-0.36000000000000004,-0.2
6,24,1.6795659675873935,27.90552873626386,3.034403883066509
6,25,-0.648,5.5713457440292045,-0.5456000000000001
6,26,2.6602616669410954,20.762997629536226,-0.36000000000000004
6,27,-0.2,10.44357803030238,0.0
6,28,-0.5904,17.204656361102476,-0.36000000000000004
6,30,0.0,25.56264184111373,-0.2
6,31,0.0,0.0,0.0
7,25,-95.00614087169768,11.436981452444947,4.141972457327612
7,26,5.105833944157984,18.00626312266998,5.024257360977899
7,27,1.6743138342411723,0.11238563904019544,0.08990095925807685
7,29,-0.39200000000000007,27.916587526740695,-0.36000000000000004
8,30,0.0,37.401738429466306,0.1965187130998937
9,31,-0.2,56.9832366554941,0.16996074679318554
9,34,0.0,45.365548589739774,-0.2
9,35,-0.2,28.520768329956447,-0.2
9,36,0.0,0.0,0.0
10,36,35.915754908877645,-0.2,0.0
10,37,0.0,0.0,0.0
999,999,0.0,-0.36000000000000004,0.0
